name,01/01/2000,01/01/2001,01/01/2002,01/01/2003,01/01/2004,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,01/01/2011,01/01/2012,01/01/2013,01/01/2014,01/01/2015,01/01/2016,01/01/2017,01/01/2018,01/01/2019,01/01/2020
Naeil Geudaewa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Chui lung,0,0,0,0,0,1,1,2,3,2,2,2,2,2,3,1,1,1,1,1,1
China Salesman,0,3,3,1,2,2,2,2,2,2,2,2,2,16,100,35,19,17,17,10,11
She's Just a Shadow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,1,1
Dao khanong,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1
Kulipari: An Army of Frogs,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,1,0,0,0,0,1
isPartial.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Hassel,54,53,53,49,45,43,39,35,34,30,28,30,27,32,28,28,27,31,25,26,28
Las leyes de la termodinámica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1
Blue Night,57,53,54,54,57,65,71,100,77,68,69,73,73,72,69,66,65,65,79,78,81
After the Lethargy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
